stage,scope,metric,mean,median,std,n
before,overall,r_to_foot_ms,311.46899999999977,317.99999999999784,64.14923256750656,2000
before,overall,r_to_peak_ms,190.0929999999999,170.0000000000017,74.81476693140226,2000
after,overall,r_to_foot_ms,227.45376712328778,247.999999999994,69.8876759241769,1168
after,overall,r_to_peak_ms,406.9212328767125,421.99999999999704,67.9571830437895,1168
after,scene:run,r_to_foot_ms,215.09045226130667,221.00000000000009,78.947389512578,398
after,scene:run,r_to_peak_ms,412.4170854271355,428.9999999999967,67.83320446275606,398
after,scene:sit,r_to_foot_ms,170.6976744186049,132.000000000005,82.13305565849123,43
after,scene:sit,r_to_peak_ms,300.6976744186041,231.99999999999932,115.20649506958941,43
after,scene:walk,r_to_foot_ms,237.5790921595599,253.99999999999955,60.491831069459245,727
after,scene:walk,r_to_peak_ms,410.1953232462178,420.0000000000017,58.48824831821297,727
after,subject:s1,r_to_foot_ms,251.57142857142622,263.00000000000523,65.90113188461414,14
after,subject:s1,r_to_peak_ms,477.1428571428577,479.9999999999969,16.101717489834588,14
after,subject:s10,r_to_foot_ms,253.6231884057972,254.0000000000191,10.568069832234952,69
after,subject:s10,r_to_peak_ms,414.49275362318883,415.9999999999968,28.301494398196187,69
after,subject:s11,r_to_foot_ms,273.0714285714289,277.000000000001,33.27904592922096,112
after,subject:s11,r_to_peak_ms,430.160714285715,438.0000000000006,45.62278440245231,112
after,subject:s12,r_to_foot_ms,204.34666666666516,195.99999999999795,74.29984178239668,75
after,subject:s12,r_to_peak_ms,424.8800000000001,432.00000000000216,49.45057060675205,75
after,subject:s13,r_to_foot_ms,229.92307692307688,237.00000000000188,38.38862319141644,26
after,subject:s13,r_to_peak_ms,438.84615384615387,445.0000000000003,34.92926071988635,26
after,subject:s14,r_to_foot_ms,224.46153846153976,234.00000000000887,75.08007559585378,65
after,subject:s14,r_to_peak_ms,404.83076923077,414.0000000000015,68.92572797099409,65
after,subject:s15,r_to_foot_ms,134.6666666666698,109.99999999999943,77.47114158045177,9
after,subject:s15,r_to_peak_ms,258.22222222221967,216.00000000000108,98.98796534907945,9
after,subject:s16,r_to_foot_ms,299.60000000000025,299.99999999999005,8.16333265278478,20
after,subject:s16,r_to_peak_ms,475.49999999999955,475.9999999999849,19.74715169334803,20
after,subject:s17,r_to_foot_ms,139.83333333333414,132.000000000005,40.29440269924574,24
after,subject:s17,r_to_peak_ms,243.33333333333394,227.00000000000387,62.8481414911279,24
after,subject:s18,r_to_foot_ms,257.1999999999988,281.99999999998226,56.704144469341514,5
after,subject:s18,r_to_peak_ms,453.60000000000053,451.9999999999982,29.26841300788274,5
after,subject:s19,r_to_foot_ms,232.21052631578993,246.00000000000932,61.6458296257687,95
after,subject:s19,r_to_peak_ms,404.5894736842112,412.00000000000614,58.2935393615955,95
after,subject:s2,r_to_foot_ms,239.9679144385034,264.0000000000002,58.19108332960407,187
after,subject:s2,r_to_peak_ms,436.24598930481267,433.9999999999975,28.324389491461144,187
after,subject:s20,r_to_foot_ms,287.9666666666668,291.99999999999983,45.626734365818066,60
after,subject:s20,r_to_peak_ms,433.4666666666678,439.00000000000006,42.568950604348885,60
after,subject:s22,r_to_foot_ms,114.00000000000432,114.00000000000432,0.0,1
after,subject:s22,r_to_peak_ms,463.99999999999864,463.99999999999864,0.0,1
after,subject:s3,r_to_foot_ms,280.00000000000585,326.0000000000076,65.05382386916484,3
after,subject:s3,r_to_peak_ms,478.0000000000039,478.00000000000864,1.6329931618574478,3
after,subject:s4,r_to_foot_ms,169.9999999999946,169.9999999999946,82.00000000000074,2
after,subject:s4,r_to_peak_ms,445.99999999999443,445.99999999999443,7.999999999999119,2
after,subject:s5,r_to_foot_ms,282.99999999999415,283.9999999999918,12.12435565298553,4
after,subject:s5,r_to_peak_ms,431.9999999999986,432.99999999999983,3.741657386780413,4
after,subject:s6,r_to_foot_ms,277.052631578945,319.9999999999932,84.50815823850463,19
after,subject:s6,r_to_peak_ms,429.99999999999915,491.9999999999902,112.2365922129629,19
after,subject:s7,r_to_foot_ms,260.69230769230757,258.00000000000443,22.128591374352936,52
after,subject:s7,r_to_peak_ms,440.9230769230769,442.0000000000073,29.826321721855724,52
after,subject:s8,r_to_foot_ms,156.0151515151515,159.9999999999966,29.669386540747617,264
after,subject:s8,r_to_peak_ms,349.1060606060608,338.9999999999951,60.83973701153409,264
after,subject:s9,r_to_foot_ms,317.3225806451609,317.99999999999784,40.305196252509305,62
after,subject:s9,r_to_peak_ms,459.5483870967733,467.99999999999477,30.000901824808132,62
