subject_id,n_beats,r2foot_mean_ms,r2peak_mean_ms
s1,14,251.5714285714262,477.1428571428577
s10,69,253.62318840579726,414.4927536231889
s11,112,273.07142857142895,430.160714285715
s12,75,204.34666666666516,424.88000000000017
s13,26,229.92307692307688,438.8461538461539
s14,65,224.4615384615398,404.83076923077004
s15,9,134.6666666666698,258.22222222221967
s16,20,299.60000000000025,475.49999999999955
s17,24,139.83333333333414,243.3333333333339
s18,5,257.19999999999885,453.6000000000005
s19,95,232.2105263157899,404.58947368421116
s2,187,239.9679144385034,436.2459893048128
s20,60,287.96666666666687,433.4666666666677
s22,1,114.00000000000432,463.99999999999864
s3,3,280.00000000000585,478.0000000000039
s4,2,169.9999999999946,445.99999999999443
s5,4,282.99999999999415,431.99999999999864
s6,19,277.05263157894495,429.99999999999915
s7,52,260.69230769230757,440.92307692307685
s8,264,156.0151515151515,349.1060606060608
s9,62,317.32258064516094,459.54838709677335
