module,category,path,role,is_entrypoint,depends_on
Hardware,firmware,OPD/README.md,implementation,no,ESP-IDF/NimBLE/ADC/I2C
Hardware,firmware,OPD/main/app_main.c,entry,yes,ESP-IDF/NimBLE/ADC/I2C
Hardware,firmware,OPD/main/app_tasks.c,entry,yes,ESP-IDF/NimBLE/ADC/I2C
Hardware,firmware,OPD/main/app_config.h,implementation,no,ESP-IDF/NimBLE/ADC/I2C
Hardware,firmware,OPD/main/packet_protocol.h,implementation,no,ESP-IDF/NimBLE/ADC/I2C
Hardware,firmware,OPD/main/board_pins.h,implementation,no,ESP-IDF/NimBLE/ADC/I2C
Hardware,firmware,OPD/components/ble_service/ble_service.h,implementation,no,ESP-IDF/NimBLE/ADC/I2C
Hardware,firmware,OPD/components/state_monitor/state_monitor.h,implementation,no,ESP-IDF/NimBLE/ADC/I2C
Hardware,firmware,OPD/components/sampler/ecg_sampler.h,implementation,no,ESP-IDF/NimBLE/ADC/I2C
Hardware,firmware,OPD/components/sampler/ppg_sampler.h,implementation,no,ESP-IDF/NimBLE/ADC/I2C
Hardware,firmware,OPD/components/timebase/timebase.h,implementation,no,ESP-IDF/NimBLE/ADC/I2C
Software,android_app,android_project/app/src/main/AndroidManifest.xml,entry,yes,BLE/GATT/Compose/Kotlin
Software,android_app,android_project/app/build.gradle.kts,implementation,no,BLE/GATT/Compose/Kotlin
Software,android_app,android_project/build.gradle.kts,implementation,no,BLE/GATT/Compose/Kotlin
Software,android_app,android_project/app/src/main/java/com/photosentinel/health/data/repository/ble/BlePacketProtocol.kt,implementation,no,BLE/GATT/Compose/Kotlin
Software,android_app,android_project/app/src/main/java/com/photosentinel/health/data/repository/BleHardwareBridgeRepository.kt,implementation,no,BLE/GATT/Compose/Kotlin
Software,android_app,android_project/app/src/main/java/com/photosentinel/health/infrastructure/signal/TimelineReconstructor.kt,implementation,no,BLE/GATT/Compose/Kotlin
Software,android_app,android_project/app/src/main/java/com/photosentinel/health/infrastructure/signal/CardiovascularSignalProcessor.kt,implementation,no,BLE/GATT/Compose/Kotlin
Software,android_app,android_project/app/src/main/java/com/photosentinel/health/infrastructure/signal/BatchCardioAnalyzer.kt,implementation,no,BLE/GATT/Compose/Kotlin
Software,android_app,android_project/app/src/main/java/com/photosentinel/health/ui/viewmodel/HomeViewModel.kt,entry,yes,BLE/GATT/Compose/Kotlin
Software,android_app,android_project/app/src/main/java/com/photosentinel/health/ui/screens/HomeScreen.kt,implementation,no,BLE/GATT/Compose/Kotlin
DatasetValidation,python_pipeline,project_root/README.md,data_or_impl,no,Python/Pandas/WFDB/NeuroKit2
DatasetValidation,python_pipeline,project_root/requirements.txt,data_or_impl,no,Python/Pandas/WFDB/NeuroKit2
DatasetValidation,python_pipeline,project_root/run_all.ps1,entry,yes,Python/Pandas/WFDB/NeuroKit2
DatasetValidation,python_pipeline,project_root/configs/datasets.yaml,data_or_impl,no,Python/Pandas/WFDB/NeuroKit2
DatasetValidation,python_pipeline,project_root/configs/pipeline.yaml,data_or_impl,no,Python/Pandas/WFDB/NeuroKit2
DatasetValidation,python_pipeline,project_root/src/run_pipeline.py,entry,yes,Python/Pandas/WFDB/NeuroKit2
DatasetValidation,python_pipeline,project_root/src/iteration_controller.py,data_or_impl,no,Python/Pandas/WFDB/NeuroKit2
DatasetValidation,python_pipeline,project_root/src/evaluation/task1_ecg_rpeak.py,data_or_impl,no,Python/Pandas/WFDB/NeuroKit2
DatasetValidation,python_pipeline,project_root/src/evaluation/task2_hrv.py,data_or_impl,no,Python/Pandas/WFDB/NeuroKit2
DatasetValidation,python_pipeline,project_root/src/evaluation/task3_af.py,data_or_impl,no,Python/Pandas/WFDB/NeuroKit2
DatasetValidation,python_pipeline,project_root/src/evaluation/task4_arrhythmia.py,data_or_impl,no,Python/Pandas/WFDB/NeuroKit2
DatasetValidation,python_pipeline,project_root/src/evaluation/task5_ecg_qt_pwave.py,data_or_impl,no,Python/Pandas/WFDB/NeuroKit2
DatasetValidation,python_pipeline,project_root/src/evaluation/task6_ppg.py,data_or_impl,no,Python/Pandas/WFDB/NeuroKit2
DatasetValidation,python_pipeline,project_root/src/evaluation/task7_resp.py,data_or_impl,no,Python/Pandas/WFDB/NeuroKit2
DatasetValidation,python_pipeline,project_root/src/evaluation/task8_ptt.py,data_or_impl,no,Python/Pandas/WFDB/NeuroKit2
DatasetValidation,python_pipeline,project_root/src/evaluation/task9_regression.py,data_or_impl,no,Python/Pandas/WFDB/NeuroKit2
DatasetValidation,python_pipeline,project_root/outputs/metrics/best_metrics.json,data_or_impl,no,Python/Pandas/WFDB/NeuroKit2
DatasetValidation,python_pipeline,project_root/outputs/tables/task3_baseline_model_compare.csv,data_or_impl,no,Python/Pandas/WFDB/NeuroKit2
DatasetValidation,python_pipeline,project_root/outputs/tables/task8_recomputed_metrics.csv,data_or_impl,no,Python/Pandas/WFDB/NeuroKit2
DatasetValidation,python_pipeline,project_root/datasets/manifests/dataset_inventory.csv,data_or_impl,no,Python/Pandas/WFDB/NeuroKit2
